created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2023-01-20 21:55:18+00:00,@WadePlem Man got the W and RANNNNN 😂😂😂😂,4809,63,False,False
2023-01-20 19:53:04+00:00,@FoxTownley @LoganPaul @PrimeHydrate Mans finally reaching that next level,788,17,False,False
2023-01-20 16:26:54+00:00,This song with Oliver Tree is my best song to date. The music video is nuts too. All out January 27th 🙌🏿,26074,392,False,False
2023-01-19 19:36:08+00:00,Salt Papi vs Gib…Who wins?,19472,692,False,False
2023-01-19 15:43:26+00:00,https://t.co/nf1pNys1gN,2173,49,False,False
2023-01-19 15:43:25+00:00,"Out next Friday, pre order link down below https://t.co/w0JExMWVRJ",12935,703,False,False
2023-01-19 12:40:32+00:00,Out next week https://t.co/JTdHXfcMJ7,31226,1298,True,False
2023-01-18 07:53:23+00:00,Me and Logan are going Australia in February. This is gonna be nuts 😅,109642,2162,False,False
2023-01-16 12:45:32+00:00,Some people forget that boxing isn’t all i do…,104071,1317,False,False
2023-01-16 12:23:08+00:00,@tize4PF L,1094,12,False,False
2023-01-16 12:20:45+00:00,"Problem is, your fight isn’t likely to even happen in the first place lmao https://t.co/4HooML3670",31734,804,True,False
2023-01-16 12:17:21+00:00,@PrabhhSandhu @twrecks155 All will make sense soon,1272,17,False,False
2023-01-16 09:52:36+00:00,@twrecks155 :),1419,34,False,False
2023-01-16 06:37:15+00:00,Tank gonna knock you out #Facts https://t.co/ncjzQqNorM,44246,1303,True,False
2023-01-15 19:40:16+00:00,@ksicsgs @7coronasdown Oh fr? My bad,1174,7,False,False
2023-01-15 18:49:26+00:00,I SAID IT FAM. ARSENAL ARE DIFFERENT https://t.co/WBz2RblJKz,25955,989,True,False
2023-01-15 18:48:24+00:00,@AFTVMedia HAHAHAHA LETS GOOOOOOOOOO,3295,25,False,False
2023-01-15 18:29:44+00:00,SO PROUD OF THE BOYS MAN!!! https://t.co/CxzVAzzj5N,28712,733,True,False
2023-01-15 18:28:34+00:00,ROBBIE I SAID IT. I CALLED IT!!! 2-0 TO ARSENAL AGAINST TOTTENHAM HAHAHA. PRIMED UP WEEKEND. IM GASSED!!! LET’S GOOOOOOOO,69390,1765,False,False
2023-01-15 13:34:02+00:00,Cold edit https://t.co/mUGJeAD5gH,63285,2324,False,False
2023-01-14 19:55:38+00:00,@harleymurphyyy @anthony_foreal 😂😂😂😂😂,5966,93,False,False
2023-01-14 19:53:41+00:00,WHAT A FIGHT. BOTH WOMEN WENT CRAZY OMG!!!! @ElleBrookeUK @FaithOrdway,55114,816,False,False
2023-01-14 19:38:09+00:00,HAHAHAHAAHAHAHAHAHAHAHA @anthony_foreal,65303,1058,False,False
2023-01-14 17:52:46+00:00,@eurofootcom @David_Ornstein Bruh,1129,16,False,False
2023-01-14 10:32:48+00:00,@FoxTownley AYO CHILLLLLLLLLLL,2952,24,False,False
2023-01-14 09:08:42+00:00,IT’S FIGHT DAY HAHAHAHA,87957,1942,False,False
2023-01-13 15:41:20+00:00,"TOMORROW, JANUARY 14TH, YOU WILL SEE THE LEVELS. I’M BACK STRONGER, FASTER AND BETTER THAN EVER! https://t.co/wcZIhlOUhK",43859,1315,False,False
2023-01-13 09:11:16+00:00,Things we love to see 🙌🏿🙌🏿 https://t.co/jLGM7qqIOi,10868,572,True,False
2023-01-12 22:23:27+00:00,"It’s limited btw, so when it’s gone, it’s gone. https://t.co/vDMpYfvruj",7734,446,True,False
2023-01-12 22:12:35+00:00,Chelsea 🤣🤣🤣,27631,579,False,False
2023-01-12 21:59:44+00:00,HAHAHAHA ffs https://t.co/59Ar0TcaEa,32442,648,True,False
2023-01-12 15:14:06+00:00,THIS SATURDAY WE GETTING ANOTHER W https://t.co/cBNKyrPz4w,41630,1089,False,False
2023-01-11 21:33:18+00:00,This Saturday we go again 🙌🏿 https://t.co/bxn3jrUI3D,26680,745,True,False
2023-01-10 21:22:05+00:00,Ah man… https://t.co/Ruwgqc85Ed,15046,536,True,False
2023-01-10 19:36:47+00:00,Jake Paul really let his YouTube channel die lmao https://t.co/8MAeealKYf,159332,2648,False,False
2023-01-10 15:04:04+00:00,@anthony_foreal You’re not getting past idris.,3330,35,False,False
2023-01-10 14:17:57+00:00,It’s my absolute pleasure to announce that Misfits Boxing now has a 5 year partnership deal with @DAZNBoxing. It’s always been about the long term goal and I’m so glad it’s finally coming into fruition. This is the start of many great things for @MisfitsBoxing https://t.co/ic41TwZsAn,24074,610,False,False
2023-01-10 09:19:51+00:00,See you there 🙌🏿 https://t.co/Y6JqXMCMrf,9231,469,True,False
2023-01-09 08:08:45+00:00,https://t.co/LVJeJgeC9C,28266,908,False,False
2023-01-08 17:10:30+00:00,@LudisCharta @LoganPaul The new product isn’t meant to be in the U.K. though. It’s only launched in the US.,308,4,False,False
2023-01-08 16:41:15+00:00,"@LudisCharta @LoganPaul We literally launched prime last year, allow us pls 😂😂. We’re trying to increase the supply to match the demand",63,1,False,False
2023-01-07 11:23:02+00:00,https://t.co/PVPDuu325z,37891,1005,False,False
2023-01-06 21:57:39+00:00,"@eherbie__ @ksinews_ Na, I’ve got a different song for that",2173,24,False,False
2023-01-06 21:29:09+00:00,https://t.co/0WVBJ8tSAI,29630,746,False,False
2023-01-06 17:05:52+00:00,Watch here - https://t.co/V0PPeO5DJt,2434,36,False,False
2023-01-06 17:05:29+00:00,KSI Vs Temper. Sidemen Vs Faze. Ya boy is back January 14th PPV only on @DAZNBoxing https://t.co/72ie6U4xtp,16479,740,False,False
2023-01-05 23:41:52+00:00,You wouldn’t at all. The idea of having 2 misfits belts sounds good to my ears though… https://t.co/4dLYVISlrD,25103,696,True,False
2023-01-05 20:38:23+00:00,FINALLY! I’ve been buzzing for this video to come out https://t.co/dTtVZ8XlzQ,18607,487,True,False
2023-01-05 20:36:16+00:00,Honestly one of the funniest 20v1 we’ve ever done https://t.co/XVdpW6fkbT,64750,1267,True,False
2023-01-04 17:34:41+00:00,@anthony_foreal https://t.co/ZaAWQLLLD3,6430,411,False,False
2023-01-04 16:59:54+00:00,Sidemen vs Faze. January 14th https://t.co/889Hz1hc0Y,137614,5309,False,False
2023-01-04 16:04:55+00:00,@arielhelwani Lmao,6008,117,False,False
2023-01-04 15:16:26+00:00,The show must go on. I’m still fighting January 14th,78497,1122,False,False
2023-01-04 15:13:57+00:00,"2 fights, 2 pullouts. Kmt",112732,1699,False,False
2023-01-03 18:01:04+00:00,"PRIME ENERGY! NEW PRODUCT!

Starting 2023 off with a banger. 5 different flavours all dropping in the U.S. tomorrow only on https://t.co/12PdxTLvM2 at 1pm ET @PrimeHydrate https://t.co/HMdbSfMDnj",37170,952,False,False
